log_id,tester_id,entry_date,indication,solution,detector,solved_date
1907,595,10/2/2025 14:54,Kaasujouset loystyneet,"Vaihdettu kaasujouset, alkup Takaya tyyppi on TM-149-100-10, hankittu tyyppi 400mm 150N",M.Kallio,10/2/2025 14:54
1905,160,6/27/2025 11:16,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Image kovalevysta otettu BartBe v.11 ohjelmalla  verkkoasemalle: images \\10.250.3.208\Takaya_FlyingProbe\TAKAYA_1 Huonolaatuisia kopioprobeja FP1010 3UH53 M ei kayteta enaa. jatkossa vain alkup. Takaya 94xx VBM94002. Kone rasvattu KLH toimesta",M.Kallio ja KLH,6/27/2025 11:16
1906,595,6/27/2025 11:16,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Image kovalevysta otettu BartBe v.11 ohjelmalla  verkkoasemalle: images \\10.250.3.208\Takaya_FlyingProbe\TAKAYA_2 Huonolaatuisia kopioprobeja FP1010 3UH53 M ei kayteta enaa. jatkossa vain alkup. Takaya 94xx VBM94002. Kone rasvattu KLH toimesta",M.Kallio ja KLH,6/27/2025 11:16
1904,630,2/25/2025 10:02,T32005.11--08 testauksessa huono saanto mm PCM4 mittauksissa ja RLOOP testissa,Muutettu viiveita ja lisatty ylimaarainen reset 21.2.2025,JLa,2/25/2025 10:02
1903,595,2/14/2025 10:14,"kameranaytto patkii, valilla nakyy ok, valilla kameran kuva nakyy kahtena paallekkaisena kuvana ja valilla ei nay mitaan	","videokonvertterin alkuperainen virtalahde 5V-1A vikaantunut, vaihdettu virtalahde, alkoi toimia",M.Kallio,2/14/2025 10:14
1902,595,1/20/2025 8:37,Probet VBM00373 Probe PTI-5N1A-0N22BE loppumassa eika uusia enaa saa ostettua koska valmistus on lopetettu.,"korvataan probella FP1010 3UH53 M - Takaya 94xx kopioprobe, tai VBM94002 - Takaya 94xx probe. Koneeseen suunniteltu ja 3D printattu uudet probe holderit ja probejen kaapeleita avarrettu 94xx probe tyyppiin sopivaksi... Toimii.","M.Kallio, S-Koski-Vahala",1/20/2025 8:37
1901,160,1/20/2025 8:36,Probet VBM00373 Probe PTI-5N1A-0N22BE loppumassa eika uusia enaa saa ostettua koska valmistus on lopetettu.,"korvataan probella FP1010 3UH53 M - Takaya 94xx kopioprobe, tai VBM94002 - Takaya 94xx probe. Koneeseen suunniteltu ja 3D printattu uudet probe holderit ja probejen kaapeleita avarrettu 94xx probe tyyppiin sopivaksi... Toimii.","M.Kallio, S.Koski-Vahala",1/20/2025 8:36
1900,160,12/18/2024 13:37,Kannen kaasujouset huonot,"Vaihdettu kaasujouset, alkup Takaya tyyppi on TM-149-100-10, hankittu tyyppi 400mm 150N",M.Kallio,12/18/2024 13:37
1898,160,12/12/2024 13:29,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1",M.Kallio,12/12/2024 13:29
1899,595,12/12/2024 13:29,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA2",M.Kallio,12/12/2024 13:29
1897,630,12/3/2024 15:42,"T32005.11--08 huono saanto, mm FXS VBAT testissa",FXS VBAT rajat muutettu 56...60V:sta---> 56...62V:iin. Lupa rajamuutokseen DNWP:lta,JLa,12/3/2024 15:42
1896,630,11/14/2024 15:19,T32005.11--08 testauksessa huono saanto mm PCM4 mittauksissa ja RLOOP testissa,"Testataan vanhemmalla FPGA softalla, jolla testit menevat paremmin lapi. Lopussa ladataan uusin FPGA sw versio 8B. Tehty testerille 6.11.2024",JLa,11/14/2024 15:19
1895,595,9/20/2024 9:28,"Kone kuumenee voimakkaasti volyymiajossa, mittakortit alkaa virheilemaan, ohmiarvot nousee ja tama johtunee mittauskorttien yli kuumenemisesta","Takakannen 2 tuuletinta asennettu puhaltamaa sisaan ilmaa, mutta toisella flaikkarilla ne ovat toisinpain, joten kaannettu tassakin puhaltamaa ulos. Kone ei enaa kuumene liikaa",M.Kallio,9/20/2024 9:28
1894,160,8/23/2024 8:11,"kameranaytto patkii, valilla nakyy ok, valilla kameran kuva nakyy kahtena paallekkaisena kuvana ja valilla ei nay mitaan","videokonvertterin alkuperainen virtalahde 5V-1A vikaantunut, vaihdettu virtalahde, tilalle 5V-2.4A - alkoi toimia",M.Kallio,8/23/2024 8:11
1892,595,6/6/2024 13:48,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA2",O.Jarvela,6/6/2024 13:48
1893,160,6/6/2024 13:48,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1",M.Kallio,6/6/2024 13:48
1885,628,2/16/2024 7:51,"ongelma: Dyna2Fix10 fixturessa painuu fixin takana oleva eth liitin sisalle pain,aiheuttaen turhia retesteja. Dyna2 Fix10 liittimien vaihtovali tullut tayteen.-MP-",-,JRu,3/19/2024 13:11
1891,628,3/19/2024 13:11,DIT1-1 fixilla Dyna2 Fix10 ei toimi testaus lajimerkilla T32007.12. Eilen viela toimi mutta failasi usein.,Fixturen RJ45- liitin oli painunut sisaan. Parannettu liittimen puristus/kiinnitysmekaniikkaa siten etta puristaa paremmin jotta ei painaudu niin helposti sisaan.  Lisaksi mietittiin painumisen estoratkaisua. ,JRu,3/19/2024 13:11
1890,776,3/13/2024 15:13,CCU.n Ber mittaukset Fail.,"Vaihdettu CSR/purkista tuleva RF/piuha uuteen. Testit PASS.  Huomioitavaa, kun ruppee tulemaan Ber/vikkaa RF/ piuha on vaihdettava, saastytaan turhilta uusinta testeilta. Taman piuhan liitin kuluu nopeasti tylppamaisesti eika saa enaa kunnon kontaktia yksikon liittimella. ",Anita Juntunen,3/13/2024 15:13
1889,630,3/7/2024 14:35,"T33108.01--06, T33108.02--02 inputcurrent ylarajalla. T32004.02--07, 08, 09 inputcurrent testerilla vaarat rajat 0.05 - 0.07A.","T33108.01--06, T33108.02--02 inputcurrent uudet rajat 0.06 - 0.16A (ei ole speksattu PTS:ssa). T32004.02--07, 08, 09 inputcurrent uudet rajat 0.03 - 0.100A (PTS:n mukainen)",JLa,3/7/2024 14:35
1888,630,3/7/2024 14:24,Inputcurrent testi failaa usein (lahes kaikki lajimerkit),"LPS-power ei ota komentoja vastaan. Lisatty LPS reset: jos inputcurrent tulos 0A, tehdaan LPS reset ja komennot uudestaan. Tehty testerille 1.11.2023. Kuitattu jalkikateen.",JLa,3/7/2024 14:24
1886,736,3/1/2024 11:10,Tehdaskunnostus Tag:ien testaus ei millaan onnistu herjaa HW ID erroria.,"Ongelma havisi tutkittaessa. Tag:ien testausjigin jannitteet mitattu--> OK, Usb-piuhoja irroteltu, PC-bootattu --> mrf-yhteydet OK  ym.yhteyksia tarkistettu 9S-asiakkaan paasta myos --> OK. Yhtakkia rupes pellaan.",Anita Juntunen,3/1/2024 11:10
1882,595,1/19/2024 11:49,Kalibrointi ja yllapitohuolto,Kone purettu ja rasvattu kaikki osat KLH:n toimesta. Varmuuskopiot ohjelmista ja master fileesta otettu NAS asemalle. ,"M.Kallio, O.Jarvela. KLH",1/19/2024 11:49
1883,160,1/19/2024 11:49,Kalibrointi ja yllapitohuolto,"Kone purettu ja rasvattu kaikki osat KLH:n toimesta. Varmuuskopiot ohjelmista ja master fileesta otettu NAS asemalle. kaasujouset huonot, tilattu uudet.","M.Kallio O.Jarvela, KLH",1/19/2024 11:49
1881,786,11/8/2023 13:48,Tester moved to TE-lab,Selftest OK Tester ready to run in TE-lab,Pekka Komulainen,11/8/2023 13:48
1880,160,9/27/2023 10:02,Alemman X-akselin askelmoottorin tuuletin pitaa kovaa aanta,"Tuulettimen lapa haljennut, varaosan puutteessa korvattu eri mallisella tuulittettimella jossa suunnilleen samat speksit. Toimii.",M.Kallio,9/27/2023 10:02
1878,630,8/7/2023 10:24,"UPS kyykahtanyt, PC ja PCM4 siirretty sahkoverkkoon. Swift-GUI jumittaa alkuasetuksissa.",Usb-IO driver korrupt. Device managerissa USB-I2C/IO board:ssa vikamerkki. Talle tehty disable/enable ja PC restart. Testaus alkoi toimimaan.,JLa,8/7/2023 10:24
1875,595,6/30/2023 12:08,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA2",O.Jarvela,6/30/2023 12:08
1876,160,6/30/2023 12:08,Kalibrointi ja yllapitohuolto,"vaihdettu probet #1 #4, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1",M.Kallio,6/30/2023 12:08
1873,630,5/26/2023 12:58,T33008.02...06 FPGA lataus FAIL Tama myos reffi unit. (T33008.02..01),Windows ongelma. Konetta kaytetty alhaalla. Hox reffi unit. (T33008.02..01) ei toimi T33008.02...06 jonolla.,JRu,5/26/2023 12:58
1863,776,4/24/2023 14:05,CCU- esim. Ber mittaus fail / CSR fail useampi testi kerta.,esim. ber-mittaus ensin vaihdettu W101 sitten vaihdettu reffi S101 ---->flash PASS. CSR fail vaihdettu reffi D101 (csr-piiri) ---> Func testi PASS.,Anita Juntunen,4/24/2023 14:05
1859,160,4/14/2023 13:27,Probe 4 ei mittaa ollenkaan,"proben kaapeli kokonaan poikki kiinnikkeestaan, vaihdettu - alkoi toimia",O.Jarvela,4/14/2023 13:27
1857,595,3/16/2023 12:19,Tos3 kaytetty varaosakortti saatu hankittua TestLinelta Englannista.,"vaihdettu kortti PC koneeseen. toimii OK. Vanha korjattu kortti toimii myos edelleen ja jatetaan varaosaksi. 2 aiempaa viallista jaa myos meille, toimittaja ei halunnut niita takaisin.",M.Kallio,3/16/2023 12:19
1856,595,3/16/2023 12:15,"kansi liian loysa, ei pysy kunnolla ylhaalla, vaarana kolahtaa operaattoria paahan. kaasujousien kayttoika taynna",Vaihdettu uuden kaasujouset. malli on TM-149-100-10,KLH,3/16/2023 12:15
